@relation mozilla4-weka.filters.unsupervised.attribute.Remove-R1

@attribute start numeric
@attribute end numeric
@attribute event numeric
@attribute size numeric
@attribute state {0,1}

@data
0,913439,0,14,0
913439,1292405,1,14,0
1292405,1540749,0,14,1
0,50170,0,14,0
0,913439,0,18,0
913439,1292405,1,18,0
1292405,1540749,0,18,1
0,50170,0,18,0
0,374586,0,13,0
0,374586,0,74,0
0,374586,0,53,0
0,343394,0,45,0
0,122056,1,60,0
122056,163760,0,46,1
0,6230,1,60,0
6230,570075,1,60,1
570075,570142,1,54,1
570142,696434,1,56,1
696434,1338414,0,51,1
1338414,1717380,1,37,1
1717380,1802721,0,37,1
0,1925158,0,113,0
0,337409,1,12,0
337409,585753,0,12,1
0,337409,1,995,0
337409,585753,0,995,1
0,73979,0,86,0
0,1496988,0,12,0
1496988,1920116,0,59,0
0,73979,0,86,0
0,819800,0,12,0
0,374586,0,86,0
0,333561,0,141,0
0,163760,0,74,0
0,47094,1,208,0
47094,118999,0,12,1
118999,334285,1,12,1
334285,773350,0,12,1
0,321117,0,25,0
321117,333561,1,177,0
333561,334285,1,139,1
334285,337695,1,139,1
337695,1035122,1,137,1
1035122,1338413,0,96,1
1338413,1690336,1,96,1
1690336,1717378,1,74,1
1717378,1802719,0,74,1
0,6192,0,83,0
0,163760,0,48,0
0,6230,1,45,0
6230,333560,1,45,1
333560,570074,1,40,1
570074,570141,1,51,1
570141,773309,1,48,1
773309,1015427,1,48,1
1015427,1338412,0,39,1
1338412,1717378,1,39,1
1717378,1802719,0,39,1
0,321117,0,47,0
321117,333561,1,47,0
333561,1338415,0,47,1
1338415,1690127,0,47,1
0,1338416,0,37,0
1338416,1717382,1,33,0
1717382,1965726,0,33,1
0,851476,0,14,0
0,57494,1,9,0
57494,142199,1,14,1
142199,223478,0,21,1
0,351463,0,22,0
0,363504,0,15,0
0,8727,0,8,0
0,365804,0,8,0
0,282433,0,9,0
0,46126,1,24,0
46126,223479,0,24,1
0,375989,0,28,0
375989,377384,0,43,0
377384,380198,0,28,0
380198,392055,1,43,0
392055,844177,0,46,1
844177,1826881,0,46,1
1826881,1840022,0,46,1
0,118887,0,7,0
0,476318,0,29,0
0,1413388,0,60,0
0,6192,0,67,0
0,163197,0,15,0
0,1338416,0,21,0
1338416,1717382,1,21,0
1717382,1802528,0,21,1
0,327,0,15,0
0,327,0,15,0
0,19235,0,160,0
0,2931,1,51,0
2931,3186,1,54,1
3186,32222,1,55,1
32222,35088,1,59,1
35088,36867,1,60,1
36867,85445,0,62,1
85445,105660,0,62,1
105660,114576,0,62,1
0,2931,1,51,0
2931,3186,1,54,1
3186,32222,1,55,1
