CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
Average,ModerateOrLe,AllElse,Steep,CThruK,Neutral,VeryMoist,NegToPos,Strong,K,PartInhibit,Down,WeakUp,Strong,PC,Wet,Neutral,LessUnstable,Cloudy,Marked,N1GtLIGt_4,K,Slight,StrongUp,QStationary,K,StrongFront,Decreasing,Weak,Strong,Neutral,Neutral,StrongWest,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,PC,ACEFK,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Wet,,SIG,LowSHighN,Neutral,Stability,MovingFtorOt,Average,WidespdDnsl,XNIL
MoreThanAve,Steep,NWQuad,CloseToDryAd,CThruK,Dry,Dry,LittleChange,Strong,G,PartInhibit,Down,Neutral,Weak,PC,Neutral,Dry,Average,Clear,,N1GtLIGt_4,G,Slight,Neutral,,G,OtherRapid,LittleChange,Weak,Weak,Negative,Down,Other,PartInhibit,SVR,Aug20_Sep15,MoistMDryL,PC,GJ,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,PC,Dry,Weak,SVR,LowAtStation,Down,Stability,DryLine,Average,WidespdDnsl,XNIL
LessThanAve,ModerateOrLe,SWQuad,Steep,CThruK,Wet,Dry,NegToPos,Strong,K,PartInhibit,WeakUp,StrongUp,Weak,Clear,Neutral,Wet,LessUnstable,PC,Some,LIGt0,K,Slight,Down,Moving,K,StrongFront,Increasing,Strong,,WeakPos,Neutral,Other,Stifling,XNIL,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,Weak,XNIL,LowNHighS,Neutral,Instability,Other,LessThanAve,WidespdDnsl,XNIL
MoreThanAve,CloseToDryAd,LV,Steep,CThruK,VeryWet,Average,LittleChange,,CDEJ,PartInhibit,StronUp,WeakUp,,Clear,VeryWet,VeryWet,LessUnstable,PC,,LIGt0,J,Strong,Neutral,Other,J,NoMajor,LittleChange,Strong,,Neutral,WeakUp,Other,,XNIL,Jun15_Jul1,DryMMoistL,PC,GJ,SVR,LittleChange,LVorOther,,LessUnstable,LittleChange,PC,Wet,,SVR,LowAtStation,WeakUp,Instability,DryLine,MoreThanAve,SEQuad,SVR
LessThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Neutral,Average,LittleChange,Weak,H,PartInhibit,Down,WeakUp,Weak,Clear,Neutral,Neutral,MoreUnstable,Clear,,LILt_8,H,Strong,Down,Moving,H,MarkedUpper,Increasing,Strong,Strong,WeakPos,Neutral,Westerly,,SIG,May15_Jun14,DryMMoistL,PC,HI,SIG,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Clear,Neutral,Strong,SIG,HighEvrywher,Neutral,Stability,MovingFtorOt,LessThanAve,E_NE,SIG
LessThanAve,Steep,AllElse,ModerateOrLe,AB,Wet,Average,PosToNeg,,ABI,PartInhibit,Neutral,WeakUp,,PC,Dry,Wet,MoreUnstable,PC,,LILt_8,B,Strong,WeakUp,Other,B,OtherRapid,Decreasing,Moderate,Weak,Negative,WeakUp,Other,,XNIL,Jun15_Jul1,MoistMDryL,PC,B,SIG,Decreasing,LVorOther,,Average,DecCapIncIns,PC,Neutral,Weak,SIG,LowMtsHighPl,WeakUp,Stability,MovingFtorOt,Average,DenvCyclone,SIG
MoreThanAve,CloseToDryAd,NWQuad,Steep,CThruK,Wet,Dry,SigNegative,Weak,CDEJ,Stifling,Down,Neutral,Weak,PC,VeryWet,VeryWet,MoreUnstable,PC,Marked,N5GtLIGt_8,D,Strong,Down,Moving,D,OtherRapid,Increasing,Strong,Strong,Neutral,Neutral,DCVZFavor,,SIG,Jul2_Jul15,DryMMoistL,PC,D,SVR,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,Cloudy,VeryWet,Weak,SVR,LowAtStation,Neutral,Instability,DryLine,MoreThanAve,WidespdDnsl,SVR
Average,Steep,NWQuad,ModerateOrLe,CThruK,Wet,Average,PosToNeg,,H,PartInhibit,StronUp,Neutral,,Clear,Neutral,VeryWet,MoreUnstable,Clear,,N1GtLIGt_4,H,Strong,Neutral,,H,MarkedUpper,Increasing,Strong,Weak,Neutral,WeakUp,Other,Stifling,XNIL,May15_Jun14,DryMMoistL,Clear,HI,SIG,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,PC,Wet,Weak,SIG,LowMtsHighPl,WeakUp,Instability,MovingFtorOt,Average,E_NE,SIG
LessThanAve,Steep,SWQuad,Steep,AB,VeryWet,Average,PosToNeg,Weak,ABI,,Neutral,WeakUp,,PC,Dry,VeryWet,MoreUnstable,Cloudy,,LILt_8,B,,Neutral,QStationary,B,NoMajor,Decreasing,Unfavorable,Weak,Neutral,Neutral,DCVZFavor,PartInhibit,XNIL,Jun15_Jul1,Other,PC,B,XNIL,LittleChange,LVorOther,Weak,Average,LittleChange,PC,Dry,,XNIL,LowSHighN,Neutral,Stability,DenvCyclone,LessThanAve,SEQuad,XNIL
LessThanAve,Steep,SWQuad,Stable,AB,Wet,Dry,PosToNeg,,ABI,Stifling,Down,Neutral,,PC,Wet,Neutral,LessUnstable,Cloudy,Some,N1GtLIGt_4,B,,WeakUp,QStationary,B,NoMajor,Increasing,Weak,Weak,Neutral,Down,DCVZFavor,PartInhibit,SIG,May15_Jun14,MoistMDryL,Clear,B,XNIL,Increasing,Westerly,Weak,LessUnstable,IncCapDecIns,PC,Neutral,,SIG,HighEvrywher,Down,Instability,DenvCyclone,LessThanAve,DenvCyclone,XNIL
MoreThanAve,Steep,LV,ModerateOrLe,CThruK,Wet,Dry,LittleChange,,CDEJ,TotalInhibit,Down,WeakUp,,PC,Neutral,Wet,Average,PC,,N5GtLIGt_8,J,,Down,Other,J,NoMajor,Increasing,Weak,,StrongPos,Down,Other,PartInhibit,XNIL,May15_Jun14,MoistMDryL,PC,GJ,SIG,Increasing,LVorOther,,MoreUnstable,IncCapDecIns,Clear,Wet,,SIG,LowAtStation,Down,Instability,DryLine,MoreThanAve,LV,SVR
MoreThanAve,ModerateOrLe,NWQuad,ModerateOrLe,CThruK,Neutral,Dry,SigPositive,,K,,Down,Down,,Clear,Wet,Dry,Average,Cloudy,,N1GtLIGt_4,K,Strong,WeakUp,,K,StrongFront,LittleChange,Strong,Strong,Negative,Down,Westerly,,XNIL,May15_Jun14,DryMMoistL,PC,ACEFK,SVR,Increasing,LVorOther,,Average,IncCapDecIns,Clear,Neutral,Weak,SVR,Other,Down,Stability,Other,LessThanAve,LV,SIG
MoreThanAve,CloseToDryAd,SWQuad,CloseToDryAd,CThruK,VeryWet,Dry,SigPositive,,G,PartInhibit,Neutral,Down,,Clear,VeryWet,Wet,LessUnstable,Clear,,N1GtLIGt_4,G,Strong,Neutral,,G,NoMajor,LittleChange,Strong,,Neutral,Down,DCVZFavor,,XNIL,Aug20_Sep15,MoistMDryL,Clear,GJ,SIG,Increasing,Westerly,,LessUnstable,IncCapDecIns,Clear,VeryWet,,SIG,LowEvrywhere,Down,Stability,DryLine,Average,LV,SIG
MoreThanAve,CloseToDryAd,SWQuad,Steep,CThruK,Wet,Dry,PosToNeg,,G,PartInhibit,Neutral,Neutral,,Cloudy,Neutral,Wet,LessUnstable,Clear,,N1GtLIGt_4,G,Moderate,StrongUp,QStationary,G,OtherRapid,LittleChange,Moderate,Weak,Neutral,WeakUp,StrongWest,PartInhibit,XNIL,Jun15_Jul1,MoistMDryL,PC,GJ,SIG,Increasing,Westerly,,LessUnstable,IncCapDecIns,Cloudy,Neutral,Weak,SIG,LowAtStation,WeakUp,Neutral,DenvCyclone,Average,WidespdDnsl,SIG
LessThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Neutral,VeryMoist,NegToPos,,H,PartInhibit,StronUp,StrongUp,,PC,Neutral,Wet,Average,PC,,N1GtLIGt_4,H,Moderate,StrongUp,,H,MarkedUpper,Increasing,Moderate,Weak,StrongPos,StrongUp,Other,PartInhibit,XNIL,May15_Jun14,DryMMoistL,Clear,HI,SVR,Increasing,LVorOther,,MoreUnstable,IncCapDecIns,Cloudy,Neutral,,SVR,Other,StrongUp,Neutral,MovingFtorOt,LessThanAve,E_NE,SVR
LessThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Neutral,Dry,NegToPos,Weak,K,PartInhibit,Neutral,Neutral,Weak,Clear,Neutral,Neutral,Average,Clear,Some,N1GtLIGt_4,K,,Neutral,QStationary,K,MarkedUpper,Decreasing,Weak,Strong,Negative,Neutral,Other,,SIG,May15_Jun14,MoistMDryL,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Clear,Neutral,Weak,SIG,LowNHighS,Neutral,Neutral,DryLine,Average,SEQuad,XNIL
MoreThanAve,Steep,LV,Steep,CThruK,VeryWet,VeryMoist,PosToNeg,Strong,CDEJ,PartInhibit,Down,Neutral,Weak,Cloudy,VeryWet,VeryWet,Average,Clear,Marked,LILt_8,J,Slight,WeakUp,Other,J,NoMajor,LittleChange,Moderate,Strong,Negative,WeakUp,DCVZFavor,Stifling,XNIL,Aug11_Aug20,MoistMDryL,Cloudy,GJ,SVR,Increasing,LVorOther,Strong,Average,IncCapDecIns,Cloudy,Dry,,SVR,LowMtsHighPl,WeakUp,Neutral,DryLine,Average,LV,SVR
MoreThanAve,CloseToDryAd,SWQuad,Steep,CThruK,Wet,Average,SigNegative,,CDEJ,TotalInhibit,WeakUp,Neutral,,Clear,VeryWet,VeryWet,LessUnstable,Clear,Some,N1GtLIGt_4,D,,WeakUp,,D,OtherRapid,LittleChange,Moderate,,WeakPos,WeakUp,Westerly,PartInhibit,SIG,May15_Jun14,DryMMoistL,PC,D,SIG,Increasing,Westerly,Weak,LessUnstable,IncCapDecIns,Clear,Wet,,SIG,LowEvrywhere,WeakUp,Stability,,MoreThanAve,WidespdDnsl,XNIL
LessThanAve,Steep,AllElse,ModerateOrLe,AB,Wet,Average,LittleChange,Strong,ABI,PartInhibit,Neutral,StrongUp,,PC,Neutral,Wet,LessUnstable,PC,Some,N1GtLIGt_4,B,Strong,Down,Moving,B,MarkedUpper,Decreasing,Strong,,Negative,Neutral,Other,,SVR,Jun15_Jul1,Other,PC,B,SIG,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,PC,Wet,,SVR,LowEvrywhere,Neutral,Neutral,DenvCyclone,LessThanAve,DenvCyclone,SIG
Average,Steep,LV,CloseToDryAd,CThruK,Dry,Average,LittleChange,Weak,CDEJ,PartInhibit,Down,Neutral,Strong,PC,Neutral,Dry,LessUnstable,Clear,Marked,N1GtLIGt_4,J,Moderate,WeakUp,Other,J,NoMajor,LittleChange,Moderate,Strong,WeakPos,Neutral,StrongWest,PartInhibit,SIG,Jul16_Aug10,DryMMoistL,PC,GJ,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Neutral,Weak,SIG,LowMtsHighPl,Neutral,Stability,DryLine,Average,LV,XNIL
