DrivHist,DrivingSkill,Age,RuggedAuto,Mileage,VehicleYear,ILiCost,ThisCarDam,AntiTheft,DrivQuality,RiskAversion,GoodStudent,OtherCar,MakeModel,Accident,SocioEcon,HomeBase,PropCost,CarValue,Antilock,ThisCarCost,OtherCarCost,Theft,Airbag,MedCost,SeniorTrain,Cushioning
Zero,Expert,Senior,Tank,FiftyThou,Older,Thousand,,True,Excellent,Cautious,False,True,FamilySedan,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,True,Excellent
Zero,Normal,Adult,Football,TwentyThou,Current,Thousand,,False,Normal,Normal,False,False,FamilySedan,,Middle,Rural,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,,False,Normal,Normal,False,True,SportsCar,,Middle,Rural,TenThou,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,Normal,Adult,Football,TwentyThou,Current,Million,Severe,False,Poor,Adventurous,False,True,Luxury,Moderate,UpperMiddle,Rural,HundredThou,FiftyThou,True,HundredThou,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Senior,Football,FiftyThou,Older,Thousand,,True,Normal,Cautious,False,True,FamilySedan,,Middle,Secure,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Good
Many,Normal,Adult,Football,FiveThou,Current,Thousand,,False,Normal,Adventurous,False,True,Luxury,,UpperMiddle,City,Thousand,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Adult,Football,TwentyThou,Current,Thousand,Moderate,True,Poor,Cautious,False,True,FamilySedan,Moderate,UpperMiddle,Secure,HundredThou,TwentyThou,False,HundredThou,TenThou,False,True,Thousand,False,Excellent
Zero,Normal,Senior,EggShell,TwentyThou,Older,Thousand,,True,Normal,Cautious,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Adolescent,EggShell,TwentyThou,Older,Thousand,,False,Poor,Adventurous,False,False,Economy,,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adolescent,Tank,FiftyThou,Older,Thousand,,True,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Normal,Adolescent,Football,TwentyThou,Current,Thousand,,True,Normal,Cautious,False,True,FamilySedan,,Middle,Secure,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
