F1,F10,F100,F101,F102,F103,F104,F105,F106,F107,F108,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F6,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F7,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F8,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F9,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,Fault
Absent,Absent,NA,NA,NA,NA,NA,NA,NA,No,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,NA,Present___5__,NA,Absent,Prominent,Absent,Absent,Absent,Absent,Present,Absent,Negative,Negative,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Vesicular,Mod_abund_clear,NA,Round__most_,Present,NA,Absent,Absent,Absent,x16_50,NA,NA,Slightly_irregular,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Prominent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Mod_abund_clear,Irregular,Present,Absent,Distended,No,Slight,Absent,NA,Absent,Absent_to_slight___5__,Absent,Sparse__1_10__,NA,Numerous__51_90__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Yes,x_1_central,Clumped,Other,Absent,NA,NA,T_immunob_lrg
Absent,Absent,NA,NA,NA,NA,NA,NA,NA,No,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,NA,Absent,NA,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Negative,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Vesicular,Scanty,NA,Round__most_,Present,NA,Absent,Present,Absent,x16_50,Vesicular,Scanty,Round,NA,x_1_peripheral,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Slightly_irregular,Present,Rare___6_,Completely_obliterated,No,Slight,Absent,NA,Absent,Absent_to_slight___5__,Absent,Moderate__11_50__,Moderate__11_50__,Striking___90__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Yes,x_1_peripheral,Clumped,LNC,Absent,NA,NA,Large_cell__dif
Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,Absent,NA,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Positive,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,NA,NA,Absent,NA,Absent,Absent,Absent,x16_50,NA,NA,NA,NA,NA,Absent,Absent,Focal__non_extensive_,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Moderate__6_20__,Mature,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Scanty,Round,Present,Absent,Patent,No,Slight,Present,NA,Absent,Absent_to_slight___5__,Absent,Numerous__51_90__,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Slight___10_,Absent,Present,No,NA,Clumped,NA,Absent,NA,NA,Kaposis_sarcoma
Absent,Absent,Absent,Most_completely_encircle,Absent,Almost_all_well_def,x21_50,Present,None_similar,No,Absent,Absent,Absent,Absent,Absent,Absent,Present,Prominent___5__,No,Absent,No,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Negative,No,Sml__each___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Vesicular,Scanty,No,Slightly_irregular__most_,Present,x_80__6_12u_no_pr_vr_ns,Absent,Present,Absent,x6_15,Vesicular,Scanty,Round,NA,x_1_central,Present___5__,Absent,Focal__non_extensive_,Multifocal__non_extensive_,Absent,Absent,Absent,Present,Absent,Slight,Present,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Round,Present,Absent,Completely_obliterated,No,Slight,Absent,No,Present,Absent_to_slight___5__,Absent,Numerous__51_90__,Moderate__11_50__,Sparse___10__,Absent,Absent,Absent,Absent,Absent,Absent,Rare,Absent,Absent,Absent,No,x_1_peripheral,Clumped,LNC,Present,x1_25_,Far_apart,Viral_NOS
Absent,Absent,NA,NA,NA,NA,NA,NA,NA,No,Absent,Rare___3_,Absent,Absent,Absent,Absent,Absent,Prominent___5__,NA,Present___5__,NA,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Negative,NA,NA,Absent,Absent,Striking___100_,Absent,Absent,Absent,Absent,NA,NA,NA,NA,Absent,NA,Absent,Present,Absent,x6_15,Vesicular,Scanty,Round,NA,x1_small,Absent,Rare___3_,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Round,Present,Absent,Part_greatly_obliterated,No,Slight,Absent,NA,Absent,Absent_to_slight___5__,Absent,Numerous__51_90__,Sparse___10__,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,No,NA,Clumped,NA,Absent,NA,NA,L_H_diffuse_HD
Absent,Absent,NA,NA,NA,NA,NA,NA,NA,No,Absent,Present__3_15_,Absent,Absent,Absent,Absent,Present,Absent,NA,Absent,NA,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Negative,Negative,NA,NA,Absent,Absent,Absent,Absent,Few__6_25_cells_,Absent,Absent,NA,NA,NA,NA,Absent,NA,Absent,Present,Absent,x6_15,Vesicular,Scanty,Round,NA,x1_small,Absent,Present__3_20_,Absent,Absent,Rare___3_,Absent,Absent,Present,Absent,Absent,Present,Few___5__,Pleomorphic,Rare___6_,Absent,Absent,Absent,Absent,Absent,Absent,Rare,Scanty,Round,Present,Rare___6_,Distended,No,Slight,Absent,NA,Absent,Absent_to_slight___5__,Absent,Numerous__51_90__,Sparse___10__,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Moderate__10_20_,Absent,Absent,No,NA,Clumped,NA,Absent,NA,NA,Nodular_sclerosis
Absent,Absent,Absent,Most_completely_encircle,Absent,Almost_all_poor_def,x21_50,Present,Some_similar,No,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,Absent,No,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Negative,No,No_expansion,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,No,NA,Absent,mixed__sml_cl_pr_var_ns,Absent,Present,Absent,x16_50,Vesicular,Scanty,Round,NA,No_nucleoli,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Round,Present,Absent,Completely_obliterated,No,Slight,Absent,No,Absent,Absent_to_slight___5__,Absent,Moderate__11_50__,Sparse___10__,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Slight___10_,Present,Absent,No,NA,Plasmacytoid,NA,Present,x_90_,Back_to_back,Mixed__fol
Absent,Absent,Absent,Most_completely_encircle,Absent,Almost_all_well_def,x_50,Present,None_similar,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,Absent,No,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Negative,No,Sml__each___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,No,NA,Absent,mixed__sml_cl_not_pr_vr,Absent,Absent,Present,x16_50,NA,NA,Irregular,NA,NA,Absent,Absent,Focal__non_extensive_,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Marked__21_50__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Round,Present,Absent,Distended,No,Slight,Absent,No,Absent,Moderate__5_50__,Absent,Numerous__51_90__,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,No,NA,Clumped,NA,Present,x1_25_,Far_apart,Melanoma
Absent,Absent,Absent,NA,NA,Almost_all_well_def,x0_20,Absent,None_similar,No,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,NA,Absent,Yes,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Positive,No,Uniform_marked_exp,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Vesicular,Scanty,No,Multilobated__some_,Present,x_80__6_12u_no_pr_vr_ns,Absent,Absent,Absent,x16_50,NA,NA,Convoluted,NA,NA,Prominent__5_50__,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Moderate__6_20__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Round,Present,Absent,Completely_obliterated,No,Slight,Absent,Yes,Absent,Absent_to_slight___5__,Absent,Numerous__51_90__,NA,Sparse___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Slight___10_,Absent,Present,No,x_1_peripheral,Clumped,LNC,Present,x1_25_,Separated,AIDS_involutionary
Absent,Absent,Absent,Most_completely_encircle,Absent,Both_well_and_poor_def,x21_50,Present,None_similar,No,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present___5__,No,Absent,Yes,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Negative,No,Sml__each___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Vesicular,Mod_abund_deep,No,Round__most_,Present,x_50__13_20u_no_nucleoli,Absent,Present,Absent,x6_15,Vesicular,Scanty,Round,One,x_1_peripheral,Present___5__,Absent,Focal__non_extensive_,Multifocal__non_extensive_,Absent,Focal__non_extensive_,Absent,Present,Absent,Absent,Absent,Moderate__6_20__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Scanty,Round,Present,Absent,Distended,No,Slight,Absent,No,Present,Absent_to_slight___5__,Absent,Striking___90__,Moderate__11_50__,Sparse___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,No,x1_small,Clumped,Other,Present,x1_25_,Far_apart,Viral_NOS
